N,P,K,SoilType,Season,PreviousCrop,Crop,RequiredNutrient
52,76,14,Sandy,Kharif,Sunflower,Sunflower,Potassium
53,45,52,Sandy,Summer,Potato,Potato,Phosphorus
17,67,17,Sandy,Summer,Sorghum,Sorghum,Nitrogen
56,18,42,Black,Kharif,Cotton,Cotton,Phosphorus
16,36,14,Black,Summer,Barley,Barley,Potassium
38,76,20,Sandy,Kharif,Sorghum,Sorghum,Potassium
46,10,16,Black,Rabi,Sugarcane,Sugarcane,Phosphorus
27,68,35,Red,Kharif,Potato,Potato,Nitrogen
74,61,35,Red,Kharif,Cotton,Cotton,Potassium
55,50,32,Red,Rabi,Rice,Rice,Potassium
48,39,9,Black,Kharif,Barley,Barley,Potassium
38,23,35,Clay,Kharif,Millet,Millet,Phosphorus
48,46,28,Clay,Summer,Sunflower,Sunflower,Potassium
15,53,31,Clay,Summer,Millet,Millet,Nitrogen
57,21,21,Red,Kharif,Maize,Maize,Phosphorus
46,16,37,Red,Kharif,Tomato,Tomato,Phosphorus
20,27,35,Red,Rabi,Sugarcane,Sugarcane,Nitrogen
23,31,39,Red,Kharif,Potato,Potato,Nitrogen
30,55,11,Black,Rabi,Sunflower,Sunflower,Potassium
33,21,56,Black,Summer,Barley,Barley,Phosphorus
38,57,45,Clay,Rabi,Wheat,Wheat,Nitrogen
41,24,32,Clay,Summer,Pulses,Pulses,Phosphorus
68,21,28,Clay,Rabi,Tomato,Tomato,Phosphorus
65,32,36,Black,Kharif,Tomato,Tomato,Phosphorus
30,12,17,Clay,Summer,Onion,Onion,Phosphorus
12,21,58,Black,Rabi,Groundnut,Groundnut,Nitrogen
62,52,12,Clay,Kharif,Potato,Potato,Potassium
53,25,47,Red,Kharif,Onion,Onion,Phosphorus
76,61,44,Sandy,Kharif,Wheat,Wheat,None
68,24,47,Black,Rabi,Groundnut,Groundnut,Phosphorus
53,67,51,Black,Summer,Barley,Barley,None
70,48,26,Red,Rabi,Onion,Onion,Potassium
53,29,19,Clay,Kharif,Cotton,Cotton,Potassium
47,60,32,Sandy,Summer,Maize,Maize,Potassium
44,12,18,Black,Rabi,Sorghum,Sorghum,Phosphorus
52,38,43,Black,Kharif,Sunflower,Sunflower,Phosphorus
75,42,57,Clay,Rabi,Pulses,Pulses,Phosphorus
78,29,18,Clay,Kharif,Potato,Potato,Potassium
17,36,27,Black,Rabi,Maize,Maize,Nitrogen
36,19,51,Red,Summer,Rice,Rice,Phosphorus
69,52,19,Clay,Summer,Potato,Potato,Potassium
41,27,40,Sandy,Summer,Barley,Barley,Phosphorus
36,44,33,Clay,Rabi,Chickpea,Chickpea,Potassium
10,38,17,Black,Summer,Sorghum,Sorghum,Nitrogen
15,34,46,Clay,Summer,Sunflower,Sunflower,Nitrogen
65,31,28,Black,Kharif,Wheat,Wheat,Potassium
80,32,46,Clay,Rabi,Millet,Millet,Phosphorus
13,65,13,Sandy,Summer,Sunflower,Sunflower,Nitrogen
41,47,9,Black,Kharif,Pulses,Pulses,Potassium
40,60,45,Black,Kharif,Soybean,Soybean,Nitrogen
61,26,49,Clay,Summer,Maize,Maize,Phosphorus
29,25,40,Sandy,Kharif,Potato,Potato,Phosphorus
34,56,27,Sandy,Summer,Millet,Millet,Potassium
55,76,45,Clay,Kharif,Groundnut,Groundnut,None
77,24,38,Black,Kharif,Maize,Maize,Phosphorus
20,19,5,Red,Summer,Millet,Millet,Potassium
18,55,35,Sandy,Kharif,Soybean,Soybean,Nitrogen
11,28,18,Red,Kharif,Millet,Millet,Nitrogen
37,37,47,Clay,Summer,Wheat,Wheat,Nitrogen
67,42,8,Black,Rabi,Barley,Barley,Potassium
49,32,57,Red,Summer,Pulses,Pulses,Phosphorus
46,19,37,Black,Kharif,Barley,Barley,Phosphorus
39,57,16,Black,Summer,Rice,Rice,Potassium
10,11,49,Black,Rabi,Chickpea,Chickpea,Nitrogen
35,35,27,Clay,Rabi,Wheat,Wheat,Potassium
78,71,42,Red,Summer,Tomato,Tomato,None
14,61,9,Black,Summer,Sunflower,Sunflower,Potassium
10,63,39,Black,Kharif,Pulses,Pulses,Nitrogen
43,73,45,Clay,Summer,Sorghum,Sorghum,Nitrogen
16,44,31,Clay,Rabi,Pulses,Pulses,Nitrogen
16,29,42,Sandy,Rabi,Barley,Barley,Nitrogen
46,37,60,Red,Summer,Sugarcane,Sugarcane,Phosphorus
64,57,51,Sandy,Summer,Soybean,Soybean,None
13,26,38,Sandy,Rabi,Soybean,Soybean,Nitrogen
47,35,21,Red,Kharif,Groundnut,Groundnut,Potassium
54,13,31,Red,Rabi,Sugarcane,Sugarcane,Phosphorus
27,80,20,Black,Summer,Sorghum,Sorghum,Potassium
35,57,9,Sandy,Summer,Rice,Rice,Potassium
68,21,60,Black,Summer,Pulses,Pulses,Phosphorus
26,13,54,Clay,Rabi,Chickpea,Chickpea,Phosphorus
51,74,7,Black,Summer,Rice,Rice,Potassium
53,39,46,Clay,Summer,Potato,Potato,Phosphorus
33,37,11,Black,Summer,Potato,Potato,Potassium
42,13,55,Clay,Kharif,Tomato,Tomato,Phosphorus
23,22,17,Clay,Rabi,Groundnut,Groundnut,Potassium
59,67,7,Sandy,Summer,Tomato,Tomato,Potassium
36,21,36,Black,Rabi,Soybean,Soybean,Phosphorus
34,41,17,Red,Rabi,Barley,Barley,Potassium
58,17,24,Black,Kharif,Cotton,Cotton,Phosphorus
10,56,35,Sandy,Kharif,Rice,Rice,Nitrogen
35,44,50,Black,Summer,Groundnut,Groundnut,Nitrogen
63,71,44,Clay,Summer,Cotton,Cotton,None
24,35,32,Clay,Kharif,Sugarcane,Sugarcane,Nitrogen
29,73,13,Black,Rabi,Cotton,Cotton,Potassium
29,22,7,Black,Summer,Potato,Potato,Potassium
40,73,37,Red,Rabi,Sunflower,Sunflower,Potassium
66,38,59,Clay,Rabi,Onion,Onion,Phosphorus
55,11,18,Clay,Kharif,Cotton,Cotton,Phosphorus
38,35,57,Sandy,Summer,Barley,Barley,Phosphorus
59,23,15,Black,Kharif,Chickpea,Chickpea,Potassium
19,35,12,Sandy,Summer,Sunflower,Sunflower,Potassium
33,58,12,Black,Kharif,Pulses,Pulses,Potassium
68,62,58,Black,Kharif,Millet,Millet,None
80,69,19,Clay,Summer,Onion,Onion,Potassium
61,59,28,Black,Summer,Wheat,Wheat,Potassium
16,72,35,Red,Summer,Tomato,Tomato,Nitrogen
39,20,15,Black,Rabi,Pulses,Pulses,Potassium
46,63,44,Sandy,Summer,Groundnut,Groundnut,Potassium
27,38,41,Sandy,Kharif,Groundnut,Groundnut,Nitrogen
67,12,13,Red,Kharif,Wheat,Wheat,Phosphorus
32,75,37,Black,Rabi,Groundnut,Groundnut,Nitrogen
10,30,59,Sandy,Rabi,Chickpea,Chickpea,Nitrogen
44,55,13,Clay,Kharif,Groundnut,Groundnut,Potassium
61,79,13,Black,Kharif,Onion,Onion,Potassium
31,15,10,Clay,Kharif,Tomato,Tomato,Potassium
58,36,48,Sandy,Kharif,Maize,Maize,Phosphorus
51,46,8,Sandy,Rabi,Potato,Potato,Potassium
64,77,53,Sandy,Kharif,Maize,Maize,None
72,58,58,Clay,Summer,Maize,Maize,None
27,64,48,Sandy,Rabi,Rice,Rice,Nitrogen
35,45,57,Black,Rabi,Barley,Barley,Nitrogen
46,47,39,Black,Kharif,Sugarcane,Sugarcane,Potassium
44,26,9,Sandy,Summer,Tomato,Tomato,Potassium
65,66,17,Clay,Kharif,Soybean,Soybean,Potassium
55,28,34,Clay,Summer,Onion,Onion,Phosphorus
16,33,60,Sandy,Kharif,Tomato,Tomato,Nitrogen
46,24,55,Black,Summer,Sugarcane,Sugarcane,Phosphorus
10,64,26,Red,Summer,Potato,Potato,Nitrogen
28,69,40,Clay,Summer,Chickpea,Chickpea,Nitrogen
34,29,54,Black,Rabi,Chickpea,Chickpea,Phosphorus
39,57,35,Clay,Rabi,Rice,Rice,Potassium
19,79,27,Red,Kharif,Millet,Millet,Nitrogen
70,73,31,Black,Summer,Pulses,Pulses,Potassium
38,63,59,Clay,Kharif,Pulses,Pulses,Nitrogen
50,50,20,Black,Kharif,Wheat,Wheat,Potassium
69,12,20,Sandy,Summer,Sorghum,Sorghum,Phosphorus
72,67,41,Sandy,Rabi,Rice,Rice,None
18,52,8,Black,Summer,Rice,Rice,Potassium
70,29,48,Clay,Summer,Sunflower,Sunflower,Phosphorus
29,20,35,Clay,Summer,Soybean,Soybean,Phosphorus
47,18,6,Clay,Kharif,Soybean,Soybean,Potassium
67,55,53,Sandy,Kharif,Wheat,Wheat,None
21,33,36,Black,Kharif,Rice,Rice,Nitrogen
12,79,13,Black,Kharif,Rice,Rice,Nitrogen
42,64,57,Black,Rabi,Chickpea,Chickpea,Nitrogen
62,68,8,Black,Summer,Soybean,Soybean,Potassium
58,53,8,Black,Kharif,Rice,Rice,Potassium
52,71,54,Red,Summer,Wheat,Wheat,None
63,53,25,Red,Summer,Sorghum,Sorghum,Potassium
38,24,57,Clay,Kharif,Groundnut,Groundnut,Phosphorus
32,73,57,Sandy,Summer,Sorghum,Sorghum,Nitrogen
54,40,30,Red,Kharif,Wheat,Wheat,Potassium
18,49,60,Sandy,Kharif,Wheat,Wheat,Nitrogen
13,63,45,Red,Kharif,Potato,Potato,Nitrogen
52,74,55,Red,Summer,Pulses,Pulses,None
47,65,36,Clay,Kharif,Rice,Rice,Potassium
63,64,12,Clay,Rabi,Tomato,Tomato,Potassium
47,53,58,Clay,Summer,Onion,Onion,Nitrogen
62,31,26,Red,Summer,Tomato,Tomato,Potassium
62,58,28,Red,Rabi,Barley,Barley,Potassium
69,42,51,Red,Kharif,Chickpea,Chickpea,Phosphorus
70,56,41,Clay,Rabi,Groundnut,Groundnut,None
38,42,29,Clay,Summer,Chickpea,Chickpea,Potassium
57,17,46,Sandy,Summer,Groundnut,Groundnut,Phosphorus
58,75,28,Sandy,Kharif,Barley,Barley,Potassium
10,51,16,Sandy,Kharif,Soybean,Soybean,Nitrogen
49,75,23,Black,Rabi,Maize,Maize,Potassium
46,28,37,Sandy,Kharif,Groundnut,Groundnut,Phosphorus
48,17,35,Black,Summer,Maize,Maize,Phosphorus
68,49,59,Black,Kharif,Chickpea,Chickpea,Phosphorus
75,50,34,Clay,Rabi,Wheat,Wheat,Potassium
24,46,24,Red,Rabi,Pulses,Pulses,Nitrogen
41,50,15,Clay,Kharif,Onion,Onion,Potassium
41,70,38,Clay,Rabi,Sorghum,Sorghum,Potassium
68,61,48,Black,Summer,Rice,Rice,None
58,57,22,Clay,Kharif,Wheat,Wheat,Potassium
49,40,39,Clay,Summer,Maize,Maize,Potassium
56,24,15,Black,Summer,Rice,Rice,Potassium
50,70,43,Clay,Kharif,Groundnut,Groundnut,Potassium
45,46,14,Clay,Kharif,Potato,Potato,Potassium
19,43,8,Sandy,Kharif,Chickpea,Chickpea,Potassium
23,26,49,Black,Rabi,Maize,Maize,Nitrogen
34,52,40,Black,Summer,Barley,Barley,Nitrogen
51,28,43,Clay,Rabi,Chickpea,Chickpea,Phosphorus
24,31,39,Red,Kharif,Soybean,Soybean,Nitrogen
60,36,59,Sandy,Summer,Onion,Onion,Phosphorus
22,44,11,Red,Summer,Maize,Maize,Potassium
77,23,56,Sandy,Rabi,Potato,Potato,Phosphorus
21,79,40,Black,Kharif,Rice,Rice,Nitrogen
45,37,14,Sandy,Kharif,Pulses,Pulses,Potassium
73,63,24,Sandy,Kharif,Millet,Millet,Potassium
49,37,37,Sandy,Rabi,Sorghum,Sorghum,Phosphorus
57,74,49,Sandy,Summer,Sorghum,Sorghum,None
18,73,28,Clay,Summer,Soybean,Soybean,Nitrogen
48,11,38,Sandy,Kharif,Cotton,Cotton,Phosphorus
26,32,51,Clay,Rabi,Soybean,Soybean,Nitrogen
31,23,36,Sandy,Kharif,Sugarcane,Sugarcane,Phosphorus
47,17,51,Clay,Rabi,Potato,Potato,Phosphorus
47,21,14,Clay,Rabi,Cotton,Cotton,Potassium
55,58,51,Red,Rabi,Sunflower,Sunflower,None
77,31,9,Black,Rabi,Pulses,Pulses,Potassium
40,38,48,Clay,Summer,Barley,Barley,Phosphorus
23,71,15,Black,Rabi,Soybean,Soybean,Potassium
12,63,27,Red,Rabi,Groundnut,Groundnut,Nitrogen
32,61,52,Red,Rabi,Rice,Rice,Nitrogen
38,78,36,Black,Rabi,Groundnut,Groundnut,Potassium
77,30,41,Clay,Summer,Barley,Barley,Phosphorus
73,18,38,Clay,Rabi,Potato,Potato,Phosphorus
49,28,51,Clay,Summer,Potato,Potato,Phosphorus
57,19,34,Clay,Kharif,Rice,Rice,Phosphorus
58,13,58,Clay,Summer,Rice,Rice,Phosphorus
65,21,54,Red,Summer,Rice,Rice,Phosphorus
40,29,60,Sandy,Summer,Potato,Potato,Phosphorus
52,54,6,Red,Summer,Chickpea,Chickpea,Potassium
65,66,49,Black,Kharif,Sugarcane,Sugarcane,None
60,44,38,Clay,Summer,Cotton,Cotton,Potassium
61,15,11,Red,Rabi,Maize,Maize,Potassium
40,55,29,Black,Rabi,Rice,Rice,Potassium
16,68,22,Clay,Rabi,Sunflower,Sunflower,Nitrogen
13,10,53,Black,Kharif,Millet,Millet,Phosphorus
79,45,28,Sandy,Rabi,Potato,Potato,Potassium
19,16,27,Clay,Rabi,Soybean,Soybean,Phosphorus
33,31,46,Clay,Kharif,Tomato,Tomato,Phosphorus
18,42,60,Sandy,Kharif,Barley,Barley,Nitrogen
76,63,17,Black,Summer,Maize,Maize,Potassium
55,55,18,Clay,Kharif,Sugarcane,Sugarcane,Potassium
80,16,9,Clay,Kharif,Groundnut,Groundnut,Potassium
78,38,29,Red,Rabi,Tomato,Tomato,Potassium
73,42,24,Sandy,Kharif,Tomato,Tomato,Potassium
76,80,30,Black,Rabi,Sugarcane,Sugarcane,Potassium
58,29,24,Sandy,Summer,Onion,Onion,Potassium
50,30,32,Sandy,Kharif,Cotton,Cotton,Phosphorus
38,36,12,Black,Kharif,Wheat,Wheat,Potassium
78,74,42,Clay,Kharif,Wheat,Wheat,None
52,64,8,Red,Rabi,Pulses,Pulses,Potassium
15,78,29,Black,Rabi,Wheat,Wheat,Nitrogen
16,16,39,Red,Summer,Pulses,Pulses,Nitrogen
73,71,57,Clay,Summer,Soybean,Soybean,None
79,47,21,Red,Rabi,Sorghum,Sorghum,Potassium
69,43,59,Clay,Rabi,Potato,Potato,Phosphorus
53,27,33,Black,Kharif,Millet,Millet,Phosphorus
28,15,16,Red,Kharif,Cotton,Cotton,Phosphorus
49,59,12,Red,Summer,Onion,Onion,Potassium
79,67,57,Black,Rabi,Sunflower,Sunflower,None
64,53,47,Sandy,Summer,Potato,Potato,None
51,17,28,Clay,Rabi,Wheat,Wheat,Phosphorus
56,73,13,Black,Summer,Pulses,Pulses,Potassium
60,59,58,Red,Summer,Chickpea,Chickpea,None
41,41,58,Red,Rabi,Maize,Maize,Nitrogen
48,73,22,Clay,Rabi,Wheat,Wheat,Potassium
30,59,14,Sandy,Kharif,Maize,Maize,Potassium
20,54,55,Clay,Kharif,Potato,Potato,Nitrogen
64,52,18,Black,Summer,Barley,Barley,Potassium
57,77,41,Sandy,Kharif,Tomato,Tomato,None
21,50,33,Sandy,Rabi,Pulses,Pulses,Nitrogen
74,62,10,Sandy,Summer,Onion,Onion,Potassium
41,66,49,Red,Summer,Cotton,Cotton,Nitrogen
59,42,40,Sandy,Kharif,Maize,Maize,Potassium
58,57,55,Red,Kharif,Rice,Rice,None
50,76,53,Black,Rabi,Barley,Barley,Nitrogen
13,17,53,Black,Summer,Soybean,Soybean,Nitrogen
62,10,33,Sandy,Rabi,Tomato,Tomato,Phosphorus
20,66,21,Black,Rabi,Sorghum,Sorghum,Nitrogen
79,65,37,Red,Kharif,Sugarcane,Sugarcane,Potassium
25,11,8,Sandy,Kharif,Tomato,Tomato,Potassium
30,13,30,Sandy,Kharif,Onion,Onion,Phosphorus
65,46,34,Sandy,Rabi,Sunflower,Sunflower,Potassium
50,40,18,Clay,Rabi,Potato,Potato,Potassium
49,75,57,Black,Summer,Rice,Rice,Nitrogen
10,49,16,Red,Rabi,Sugarcane,Sugarcane,Nitrogen
61,49,38,Black,Rabi,Millet,Millet,Potassium
32,33,59,Sandy,Rabi,Potato,Potato,Nitrogen
19,75,30,Red,Summer,Sunflower,Sunflower,Nitrogen
75,74,46,Black,Kharif,Tomato,Tomato,None
62,60,31,Red,Summer,Onion,Onion,Potassium
37,47,40,Black,Kharif,Tomato,Tomato,Nitrogen
59,42,7,Sandy,Summer,Groundnut,Groundnut,Potassium
50,23,14,Red,Rabi,Sorghum,Sorghum,Potassium
61,73,22,Red,Rabi,Rice,Rice,Potassium
59,23,51,Red,Summer,Groundnut,Groundnut,Phosphorus
80,58,37,Black,Summer,Wheat,Wheat,Potassium
14,10,49,Black,Summer,Pulses,Pulses,Phosphorus
37,75,57,Clay,Rabi,Barley,Barley,Nitrogen
49,30,22,Sandy,Kharif,Barley,Barley,Potassium
61,16,51,Black,Rabi,Potato,Potato,Phosphorus
44,71,60,Clay,Rabi,Soybean,Soybean,Nitrogen
34,66,58,Sandy,Kharif,Sunflower,Sunflower,Nitrogen
16,13,56,Sandy,Summer,Cotton,Cotton,Phosphorus
59,76,35,Sandy,Rabi,Groundnut,Groundnut,Potassium
25,49,42,Black,Summer,Sugarcane,Sugarcane,Nitrogen
40,61,55,Red,Rabi,Sugarcane,Sugarcane,Nitrogen
65,71,29,Black,Kharif,Pulses,Pulses,Potassium
23,62,47,Red,Summer,Tomato,Tomato,Nitrogen
64,36,7,Sandy,Kharif,Tomato,Tomato,Potassium
54,60,44,Clay,Summer,Sugarcane,Sugarcane,None
37,80,22,Sandy,Kharif,Tomato,Tomato,Potassium
15,18,12,Red,Rabi,Tomato,Tomato,Potassium
48,80,51,Red,Rabi,Pulses,Pulses,Nitrogen
60,29,34,Black,Rabi,Sugarcane,Sugarcane,Phosphorus
54,32,15,Black,Kharif,Sugarcane,Sugarcane,Potassium
27,46,44,Red,Rabi,Sugarcane,Sugarcane,Nitrogen
57,78,34,Red,Kharif,Pulses,Pulses,Potassium
13,70,29,Sandy,Kharif,Maize,Maize,Nitrogen
30,45,58,Sandy,Rabi,Soybean,Soybean,Nitrogen
49,20,25,Black,Kharif,Rice,Rice,Phosphorus
72,42,41,Red,Rabi,Sugarcane,Sugarcane,Potassium
66,33,27,Red,Kharif,Onion,Onion,Potassium
52,39,29,Clay,Kharif,Sunflower,Sunflower,Potassium
53,28,10,Clay,Summer,Potato,Potato,Potassium
57,48,60,Clay,Rabi,Tomato,Tomato,Phosphorus
45,33,39,Clay,Summer,Onion,Onion,Phosphorus
54,19,54,Red,Kharif,Chickpea,Chickpea,Phosphorus
22,45,46,Clay,Rabi,Sunflower,Sunflower,Nitrogen
35,34,5,Black,Summer,Onion,Onion,Potassium
42,31,12,Black,Summer,Pulses,Pulses,Potassium
27,56,27,Sandy,Rabi,Wheat,Wheat,Nitrogen
23,64,26,Sandy,Kharif,Chickpea,Chickpea,Nitrogen
58,22,30,Sandy,Summer,Sugarcane,Sugarcane,Phosphorus
15,51,45,Sandy,Rabi,Tomato,Tomato,Nitrogen
44,50,54,Red,Rabi,Chickpea,Chickpea,Nitrogen
20,64,27,Sandy,Summer,Chickpea,Chickpea,Nitrogen
44,38,34,Sandy,Rabi,Groundnut,Groundnut,Potassium
66,39,17,Black,Rabi,Onion,Onion,Potassium
10,78,40,Clay,Rabi,Soybean,Soybean,Nitrogen
32,47,8,Clay,Kharif,Sunflower,Sunflower,Potassium
25,67,58,Red,Summer,Millet,Millet,Nitrogen
68,31,26,Red,Summer,Pulses,Pulses,Potassium
76,77,37,Clay,Kharif,Wheat,Wheat,Potassium
54,71,35,Clay,Summer,Tomato,Tomato,Potassium
20,64,24,Sandy,Kharif,Maize,Maize,Nitrogen
35,43,60,Black,Summer,Sunflower,Sunflower,Nitrogen
73,63,21,Red,Summer,Millet,Millet,Potassium
25,50,26,Red,Summer,Sorghum,Sorghum,Nitrogen
34,78,12,Black,Rabi,Groundnut,Groundnut,Potassium
45,71,20,Red,Summer,Rice,Rice,Potassium
37,47,12,Clay,Summer,Cotton,Cotton,Potassium
72,68,12,Red,Summer,Onion,Onion,Potassium
38,12,31,Clay,Kharif,Sugarcane,Sugarcane,Phosphorus
65,22,28,Clay,Rabi,Soybean,Soybean,Phosphorus
38,75,36,Red,Rabi,Sorghum,Sorghum,Potassium
32,16,38,Clay,Kharif,Sunflower,Sunflower,Phosphorus
28,21,5,Sandy,Kharif,Millet,Millet,Potassium
31,67,37,Black,Rabi,Potato,Potato,Nitrogen
66,57,33,Red,Summer,Rice,Rice,Potassium
69,77,6,Red,Rabi,Soybean,Soybean,Potassium
58,45,23,Sandy,Kharif,Onion,Onion,Potassium
31,35,10,Sandy,Rabi,Potato,Potato,Potassium
51,12,56,Black,Summer,Wheat,Wheat,Phosphorus
11,20,44,Black,Kharif,Onion,Onion,Nitrogen
15,53,12,Red,Summer,Cotton,Cotton,Potassium
13,14,17,Clay,Kharif,Potato,Potato,Nitrogen
43,49,53,Sandy,Kharif,Sugarcane,Sugarcane,Nitrogen
44,78,28,Black,Kharif,Sunflower,Sunflower,Potassium
13,78,10,Red,Kharif,Groundnut,Groundnut,Potassium
34,27,60,Red,Kharif,Maize,Maize,Phosphorus
29,61,9,Sandy,Rabi,Sorghum,Sorghum,Potassium
40,79,10,Clay,Rabi,Barley,Barley,Potassium
62,17,52,Black,Summer,Barley,Barley,Phosphorus
17,52,31,Sandy,Rabi,Chickpea,Chickpea,Nitrogen
58,15,52,Red,Rabi,Cotton,Cotton,Phosphorus
54,59,5,Sandy,Summer,Wheat,Wheat,Potassium
77,26,26,Sandy,Rabi,Groundnut,Groundnut,Phosphorus
72,45,27,Red,Rabi,Tomato,Tomato,Potassium
41,64,5,Red,Summer,Soybean,Soybean,Potassium
76,24,34,Black,Kharif,Pulses,Pulses,Phosphorus
16,51,17,Black,Kharif,Wheat,Wheat,Nitrogen
23,67,25,Clay,Summer,Cotton,Cotton,Nitrogen
76,27,48,Black,Kharif,Wheat,Wheat,Phosphorus
71,53,38,Black,Summer,Millet,Millet,Potassium
71,18,9,Sandy,Rabi,Pulses,Pulses,Potassium
28,75,49,Black,Kharif,Onion,Onion,Nitrogen
12,43,24,Clay,Kharif,Chickpea,Chickpea,Nitrogen
44,25,43,Sandy,Summer,Groundnut,Groundnut,Phosphorus
62,35,40,Clay,Summer,Chickpea,Chickpea,Phosphorus
28,23,49,Clay,Kharif,Pulses,Pulses,Phosphorus
50,53,53,Black,Kharif,Millet,Millet,Nitrogen
11,33,27,Clay,Summer,Soybean,Soybean,Nitrogen
33,42,37,Black,Kharif,Sunflower,Sunflower,Nitrogen
48,35,15,Clay,Kharif,Potato,Potato,Potassium
36,69,21,Clay,Kharif,Barley,Barley,Potassium
35,15,48,Red,Kharif,Sorghum,Sorghum,Phosphorus
39,47,28,Sandy,Summer,Sorghum,Sorghum,Potassium
47,48,55,Black,Kharif,Groundnut,Groundnut,Nitrogen
69,56,17,Red,Summer,Sunflower,Sunflower,Potassium
35,51,42,Sandy,Summer,Sunflower,Sunflower,Nitrogen
41,39,27,Red,Rabi,Chickpea,Chickpea,Potassium
58,45,26,Sandy,Summer,Millet,Millet,Potassium
43,20,43,Black,Kharif,Rice,Rice,Phosphorus
31,52,26,Sandy,Rabi,Sugarcane,Sugarcane,Potassium
54,53,36,Sandy,Summer,Onion,Onion,Potassium
65,80,49,Black,Kharif,Tomato,Tomato,None
29,45,60,Black,Kharif,Onion,Onion,Nitrogen
22,13,34,Black,Rabi,Chickpea,Chickpea,Phosphorus
56,75,13,Red,Kharif,Onion,Onion,Potassium
